Sample,SBS288A,SBS288B,SBS288C,SBS288D,SBS288E,SBS288F,SBS288G,SBS288H,SBS288I,SBS288J,SBS288K,SBS288L,SBS288M
PD40349a,2443,1666,0,2476,2933,0,0,0,0,0,0,0,0
PD40350a,7688,5051,0,0,0,0,0,0,0,0,0,0,0
PD40351a,1132,707,1653,718,638,0,0,0,0,0,0,0,0
PD40352a,7176,4470,0,0,1950,0,0,0,0,0,0,0,0
PD40353a,2209,1712,2152,987,1620,0,0,0,0,0,0,0,0
PD40354a,863,998,0,1541,1204,0,0,0,0,0,0,0,0
PD40355a,0,0,2116,1378,875,2492,0,0,0,1906,0,0,0
PD40356a,781,0,0,0,1034,0,0,3476,0,2346,0,0,0
PD40357a,2470,1417,4865,0,2493,0,0,0,0,0,0,0,0
PD40358a,7196,6579,0,2103,1912,0,0,0,0,0,0,0,0
PD40360a,26176,22444,0,0,0,0,0,0,0,0,0,0,0
PD40847a,1269,1131,3416,1856,1176,0,0,1979,0,0,0,0,0
PD40848a,0,2163,2180,4573,1818,0,0,2180,0,0,0,0,0
PD40849a,0,0,0,1164,924,0,0,0,0,0,0,0,0
PD40850a,5048,2676,0,0,1742,0,4908,0,0,0,0,0,0
PD40852a,1186,1552,0,1632,1534,0,0,0,0,0,0,0,0
PD40853a,7723,4277,0,0,0,7897,0,0,0,0,0,0,0
PD40854a,3359,0,4933,0,1519,0,0,0,0,3015,0,0,2379
PD40855a,279,365,0,1133,821,0,0,0,0,0,0,0,0
PD40856a,4569,5353,5655,5674,1843,0,0,0,0,0,0,0,0
PD40857a,3130,2223,3834,0,1821,0,0,0,0,0,0,0,0
PD40858a,993,765,2434,2009,752,0,0,0,1404,0,0,0,0
PD40859a,0,0,5052,3775,1796,0,0,0,0,0,0,0,0
PD40861a,963,0,0,0,474,1968,0,0,0,0,0,0,0
PD41466a,2323,3487,0,0,0,0,0,0,0,0,0,0,4088
PD41467a,0,1881,0,6685,0,5260,0,0,0,0,0,0,0
PD41468a,0,0,4775,1925,0,0,0,0,0,0,0,0,0
PD41470a,0,0,0,1574,1449,2315,2381,0,0,0,0,0,0
PD41471a,804,0,4609,2850,1566,0,0,2761,0,0,0,0,0
PD41472a,1030,0,0,0,1631,0,0,0,0,0,0,0,1656
PD41473a,1740,1283,4236,0,3585,0,0,0,0,0,0,0,0
PD41474a,1641,15314,6219,0,0,0,0,0,0,0,0,0,0
PD41475a,0,1490,4253,2205,2186,0,0,0,0,0,0,0,0
PD41476a,7471,4334,0,0,0,0,0,0,0,0,0,0,0
PD41477a,4099,4148,3950,0,2559,0,0,0,0,0,0,0,0
PD41478a,0,0,0,4111,0,0,0,0,0,0,0,0,0
PD41479a,1426,0,3142,1173,0,0,0,0,0,0,0,0,0
PD41481a,23748,8427,0,0,0,0,0,0,0,0,0,0,0
PD42838a,0,0,3866,0,965,0,0,1454,0,0,0,0,0
PD42839a,3926,7883,0,0,1925,0,0,0,0,0,0,0,1186
PD42840a,2289,2982,0,2573,2147,0,0,0,2139,0,0,0,0
PD42841a,2171,3246,0,0,0,0,0,0,0,0,0,0,6443
PD42842a,2163,1372,0,2521,1786,0,0,3586,0,0,0,0,0
PD42843a,6284,1943,7240,0,2424,0,0,0,0,3354,0,0,0
PD42844a,2833,0,6024,0,0,0,0,0,0,0,0,0,4569
PD42845a,747,0,0,1606,2130,0,0,1306,0,1358,0,0,0
PD42846a,0,0,0,2006,1700,0,0,0,0,0,0,0,687
PD42847a,1456,0,0,1359,1857,0,0,0,0,0,0,1540,0
PD42848a,0,1971,0,0,0,4370,0,0,0,0,0,7721,0
PD42849a,1563,0,0,0,1629,3288,0,2912,0,0,0,0,0
PD42850a,2467,1803,0,2304,2371,0,0,0,0,0,0,0,0
PD42852a,1621,10732,0,0,0,0,0,3176,0,0,0,2804,0
PD42853a,7466,6019,0,2774,1683,0,0,0,0,0,0,0,0
