Sample,SBS288A,SBS288B,SBS288C,SBS288D,SBS288E,SBS288F,SBS288G,SBS288H,SBS288I,SBS288J,SBS288K,SBS288L,SBS288M,SBS288N,SBS288O,SBS288P,SBS288Q,SBS288R,SBS288S,SBS288T,DBS78A,DBS78B,DBS78C,DBS78D,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,SV32A,SV32B,SV32C,SV32D,SV32E,SV32F,SV32G,SV32H,SV32I,SV32J
PD43351a,3065,938,0,0,858,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,39,0,0,0,0,0,0,0,92,0
PD43352a,2478,891,4580,1351,1088,0,0,0,0,0,0,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,123,43,0,0,52,0,0,0,0,0
PD43353a,3943,2782,0,0,971,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,0,215,0,117,0,0,0,0,40,0,14,0,0,0,0,0,0,0
PD43354a,1557,965,0,831,1121,0,0,1200,0,0,0,1210,0,0,499,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,41,0,0,0,0,0,0,26,34,0
PD43355a,2040,887,3491,0,1593,0,0,0,0,0,0,0,0,0,0,1520,0,0,0,0,0,0,0,0,0,227,0,0,422,0,0,154,91,0,47,57,0,88,0,0,0,0
PD43356a,1475,630,0,0,1153,0,0,0,0,0,0,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,92,207,171,0,0,0,0,34,0,50,0,63,0,47,0,0,0
PD43357a,22307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,154,0,173,0,0,0,127,63,0,77,0,0,0,0,35,0,0
PD43358a,1578,1069,0,1136,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,20,17,0,0,0,0,0,0,0,0
PD43359a,20625,14234,0,0,0,0,0,0,0,10738,0,0,0,0,0,0,0,0,0,0,0,30,0,52,236,100,0,285,0,0,0,0,70,36,59,41,0,44,0,34,37,0
PD43360a,0,648,0,1171,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,16,0,0,0,0,0,23,0,0,0
PD43361a,2718,2496,0,1465,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,32,0,0,0,0,58,40,0,108
PD43362a,2652,0,0,0,0,4673,0,0,3264,0,0,0,0,2075,0,0,0,0,0,0,57,29,0,0,186,106,0,0,629,0,0,0,83,0,0,0,0,80,0,84,0,0
PD43363a,6290,1747,0,2433,0,7423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,34,46,0,0,256,0,0,2114,0,0,0,118,0,0,0,56,113,0,0,0,0
PD43364a,848,1110,0,2035,769,0,0,1323,0,0,0,0,0,0,1284,0,0,0,0,0,47,0,0,0,0,363,0,0,0,0,0,0,23,20,32,0,0,27,0,0,0,0
PD43365a,0,570,0,1044,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,413,0,0,0,0,0,0,155,36,0,0,42,0,0,0,0,0
PD43366a,2003,591,0,0,1492,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,0,0,0,13,0,563,226,453,0,0,0,0,0,68,37,38,38,39,0,0,0,37,0
PD43367a,0,1053,1832,1205,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,69,0,0,52,0,0,0,0,0,0
PD43368a,2360,793,0,0,0,5750,0,0,0,0,0,0,0,3326,0,0,0,0,0,0,0,21,0,0,0,0,0,169,434,0,0,0,97,0,36,0,0,73,0,51,0,0
PD43369a,7154,5090,0,0,0,0,0,0,0,0,0,0,0,0,1439,0,0,0,0,0,0,0,12,0,312,181,0,0,0,0,0,241,168,48,0,0,0,0,0,0,37,0
PD43370a,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11370,0,15,0,0,0,0,138,0,103,0,0,0,0,0,109,0,0,0,0,79,0,0,0
PD43371a,0,0,1665,1226,1178,0,1248,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,52
PD43372a,4886,4895,0,2533,0,0,4665,0,0,0,0,0,0,0,4075,0,0,0,0,0,95,56,36,0,0,390,0,0,0,0,0,389,176,82,174,0,0,0,124,127,57,0
PD43373a,678,755,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,59,38,28,33,0,0,0,0,0,0
PD43374a,2777,936,3864,1518,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,251,0,0,91,0,0,0,102,62,36,63,0,0,69,0,0,0
PD43777a,15322,3043,0,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,114,187,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0
PD43779a,3072,2790,5524,0,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,392,410,754,0,0,0,0,0,48,0,52,0,34,0,79,0,0,0
PD43780a,1473,1106,0,1422,1745,0,2090,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,130,74,0,0,0,0,0,0,0,0
PD43782a,0,0,0,1357,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,420,0,0,0,0,0,169,68,0,0,146,0,0,0,0,148
PD43783a,0,802,0,2715,1526,0,0,1466,0,0,0,0,2285,0,0,0,0,0,0,0,27,0,0,0,0,461,501,0,0,0,0,0,0,0,51,0,0,0,94,0,0,68
PD43785a,1529,781,0,1340,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,42,24,0,67,0,0,0,46,0,0
PD43786a,7232,1620,6492,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,78,0,0,0,0,0,0,59,0,86,0,0,0,0,0,0,0
PD43787a,1320,2130,2123,2036,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,364,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
PD43789a,0,617,0,1286,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,366,469,0,0,0,0,0,136,214,0,0,0,0,0,0,0,0
PD43790a,0,451,0,1424,767,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,216,0,0,0,0,0,0,44,0,0,45,0,0,0,31,0,0
PD43791a,2498,2261,0,0,0,0,0,0,0,0,33614,0,0,0,0,0,0,6335,0,0,0,0,0,25,58226,4488,0,0,0,0,0,0,40,34,38,0,0,0,0,0,0,0
PD43792a,1119,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,139,0,0,0,0,0,0,39,0,0,0,0,0,0,0,26,0
PD43793a,0,0,1678,1048,719,0,0,0,0,0,0,1995,0,1255,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,18,0,20,38,28,0,0,0,0,0
PD43795a,9440,4245,0,0,0,0,0,0,0,3890,0,0,0,0,0,0,0,0,0,0,0,20,0,55,0,218,411,217,95,0,0,0,146,144,44,0,0,0,0,0,41,0
PD43796a,0,0,0,724,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,284,0,0,0,0,0,183,235,0,0,0,0,0,0,0,0
PD43798a,0,687,0,1306,1954,0,0,1034,0,0,0,0,1626,0,0,0,0,0,0,0,0,0,0,0,0,883,978,0,0,0,0,0,91,30,0,0,0,0,0,0,0,0
PD43800a,2275,1108,0,1576,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,72,33,0,0,0,0,0,62,29,0
PD43802a,8326,4954,0,0,0,8643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,49,0,0,0,0,0,317,272,0,0,0,33,0,0,0,0,0,0,114,40,0
PD43803a,0,219,0,633,610,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,74,0,0,0,0,11,0,0,0,0,0,0,0,0,0
PD43806a,3443,0,0,1221,0,5492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,30,0,0,0,187,0,0,1341,0,0,0,59,0,39,0,63,115,0,0,0,0
PD43807a,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,9,0,0,0,98,0,0,0,0,0,0,35,0,0,0,0,0,0,0,20,0
PD43809a,2236,668,0,1233,0,5629,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,75,29,0,0,0,133,0,189,0,0,0,0,64,26,79,0,0,105,0,0,0,0
PD43810a,2568,2982,0,1680,0,0,0,0,6025,0,0,0,0,2375,0,0,0,0,0,1146,0,66,0,0,238,447,0,404,0,0,0,0,56,0,26,0,0,0,0,0,0,0
PD43811a,0,0,0,0,0,0,0,0,0,0,15403,7271,0,0,0,0,0,3741,0,0,0,0,0,0,38641,5596,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
